Symbol	Test	Control
p_16677_1	Down Syndrome AMKL (acute megakaryoblastic leukemia or FAB M7 leukemia)	Non-Down Syndrome AMKL (acute megakaryoblastic leukemia or FAB M7 leukemia)
p_16683_1	"HUVEC, estradiol treated, 1nM, 24h"	"HUVEC, EtOH treated, control"
p_16694_1	CBiPS 2F (iPS from Cord Blood cells reprogrammed with Oct4 and Sox2)	sorted Cord Blood cells (CD133+)
p_16694_2	"CBiPS 4F (iPS from Cord Blood cells reprogrammed with Oct4, Sox2, Klf4 and C-Myc)"	sorted Cord Blood cells (CD133+)
p_16694_4	"CBiPS 4F 1 (iPS from Cord Blood cells reprogrammed with Oct4, Sox2, Klf4 and C-Myc - Sample"	sorted Cord Blood cells CD133+
p_16728_1	"peripheral blood, RNAprep: PAXgene Globin reduced, sickle-cell disease"	"peripheral blood, RNAprep: PAXgene Globin reduced, Control"
p_16728_2	"peripheral blood, RNAprep: PAXgene, sickle-cell patients"	"peripheral blood, RNAprep: PAXgene, Control"
p_16728_3	"peripheral blood, RNAprep: PBMC, sickle-cell patients"	"peripheral blood, RNAprep: PBMC, Control"
p_16745_1	"CD34+ cell, MN1 transduced"	"CD34+ cell, control"
p_16748_1	"Human chondrosarcoma cell, ET-743 treated"	"Human chondrosarcoma cell, control"
p_16748_2	"Human chondrosarcoma cell, PM00104 treated"	"Human chondrosarcoma cell, control"
p_16755_1	"primary macrophages, IFNa-treated"	"primary macrophages, control"
p_16759_1	"Parietal lobe, Alzheimer's disease"	"Parietal lobe, Control"
p_16797_1	"whold blood, IVIG-responsive, post"	"whold blood, IVIG-responsive, pre"
p_16797_2	"whold blood, single-IVIG treatment, post"	"whold blood, single-IVIG treatment, pre"
p_16797_3	"whold blood, IVIG-plus-IVMP combined therapy, post"	"whold blood, IVIG-plus-IVMP combined therapy, pre"
p_16798_1	"U937 myelomonocytic cell line, PIR knock-down"	"U937 myelomonocytic cell line, control"
p_16836_1	"Peripheral blood monocytes, CD16+"	"Peripheral blood monocytes, CD16-"
p_16837_1	"Polymorphonuclear leukocytes, S.aureus-exposed, incubated at 37C, 1h"	"Polymorphonuclear leukocytes, healthy donor"
p_16837_2	"Polymorphonuclear leukocytes, S.aureus-exposed, incubated at 37C, 2h"	"Polymorphonuclear leukocytes, healthy donor"
p_16837_3	"Polymorphonuclear leukocytes, S.aureus-exposed, incubated at 37C, 3h"	"Polymorphonuclear leukocytes, healthy donor"
p_16837_4	"Polymorphonuclear leukocytes, S.aureus-exposed, incubated at 37C, 6h"	"Polymorphonuclear leukocytes, healthy donor"
p_16844_1	"Skin lesion cell, LL"	"Skin lesion cell, ENL"
p_16856_1	"LNCaP cells, caffeine treated, 10mM"	"LNCaP cells, untreated, control"
p_16856_2	"LNCaP cells, treated with both caffeine and actinomycin D after treatment with caffeine"	"LNCaP cells, untreated, control"
p_16856_3	"LNCaP cells, treated with actinomycin D alone after treatment with caffeine"	"LNCaP cells, untreated, control"
p_16856_4	"22Rv1 cells, caffeine treated, 10mM"	"22Rv1 cells, untreated, control"
p_16856_5	"22Rv1 cells, treated with both caffeine and actinomycin D after treatment with caffeine"	"22Rv1 cells, untreated, control"
p_16856_6	"22Rv1 cells, treated with actinomycin D alone after treatment with caffeine"	"22Rv1 cells, untreated, control"
p_16870_7	"HeLa cell, BafA treated, 24h"	"HeLa cell, control , 24h"
p_16870_8	"HeLa cell, DFO treated 24h"	"HeLa cell, control , 24h"
p_16870_9	"HeLa cell, low LDL 24h"	"HeLa cell, control , 24h"
p_16879_1	UC colon; tissue	Normal colon
p_16879_2	CD colon; tissue	Normal colon
p_16879_3	CD Ileum; tissue	Normal Ileum Mucosa
p_16879_4	Infliximab responsive UC colon; tissue	Infliximab non-responsive UC colon
p_16879_5	Infliximab responsive CD colon; tissue	Infliximab non- responsive CD colon
p_16879_6	Infliximab responsive CD ileum; tissue	Infliximab non-responsive CD ileum
p_16906_1	"Endometrial stromal cell, Jag1 retrovirus infected"	"Endometrial stromal cell, control"
p_16910_1	"hES-T3, grown on MEF feeder"	grown on feeder-free Matrigel in MEF-conditioned medium
p_16910_2	hES-T3 grown in hES medium (containing 4 ng/ml bFGF) supplemented with 5 ng/ml activin A	grown on feeder-free Matrigel in MEF-conditioned medium
p_16924_1	"AGS cells, GFP and MIST1 transfected"	"AGS cells, GFP and empty vector-transfected"
p_16924_2	"HGC-27 cells, GFP and MIST1 transfected"	"HGC-27 cells, GFP and empty vector-transfected"
p_16924_3	HGC+MIST1; transfection treated	HGC-27 parental
p_16924_4	HGC+MIST1; transfection treated	HGC+GFP control
p_16934_1	"SW480 cell, High SCP51"	"SW480 cell, EGFP"
p_16934_2	"SW480 cell, Low SCP58"	"SW480 cell, EGFP"
p_16962_1	"Umbilical vein cell, miR-210 overexpressed"	"Umbilical vein cell, control"
p_16962_2	"Umbilical vein cell, miR-210 downmodulated"	"Umbilical vein cell, control"
p_16969_1	"Brain cell, tuberous sclerosis complex disease, cortical tuber"	"Brain cell, control"
p_17007_1	"Kit225 cell, control ,NC1153 treated"	"Kit225 cell, control , DMSO"
p_17009_1	"Human MM cell, Onconase treated"	"Human MM cell, control"
p_17014_1	"Dermal cell isolate from 4 neonatal foreskin, HD-1dim"	"Dermal cell isolate from 4 neonatal foreskin, HD-1bri"
p_17032_1	skin fibroblasts; tissue	lung fibroblasts
p_17044_1	"LNCaP cell, Androgen treated"	"LNCaP cell, control"
p_17054_1	Human acute myeloid leukemia stem cells	Normal human bone marrow hematopoietic stem cells
p_17090_1	Adipose stem cells expanded in allogeneic human serum	Adipose stem cells expanded in fetal bovine serum
p_17119_1	"HMVEC, PNF1-treated, 1h"	"HMVEC, control, 1h"
p_17119_2	"HMVEC, PNF1-treated, 2h"	"HMVEC, control, 2h"
p_17119_3	"HMVEC, PNF1-treated, 4h"	"HMVEC, control, 4h"
p_17119_4	"HMVEC, PNF1-treated, 8h"	"HMVEC, control, 8h"
p_17119_5	"HMVEC, PNF1-treated, 16h"	"HMVEC, control, 16h"
p_17119_6	"HMVEC, PNF1-treated, 24h"	"HMVEC, control, 24h"
p_17119_7	"HMVEC, PNF1-treated, 48h"	"HMVEC, control, 48h"
p_17129_1	"BL Ramos cell line, transfected with pRTS-CA-IKK2"	"BL Ramos cell line, transfected with pRTS-GFP (control)"
p_17183_1	liver biopsy after interferon treatment	liver biopsy before treatment
p_17183_2	hepatocytes after interferon treatment	hepatocytes before treatment
p_17183_3	lymphocytes after interferon treatment	lymphocytes before treatment
p_17187_1	"gastric cancer, node stage: positive"	"gastric cancer, node stage: negative"
p_17254_1	"primary hepatocyte, Wy14643 treated, 6 hr; time course"	"primary hepatocyte, DMSO, 6 hr"
p_17254_2	"primary hepatocyte, Wy14643 treated, 24 hr; time course"	"primary hepatocyte, DMSO, 24 hr"
p_17269_1	"Naive B cell, CVID patient"	"Naive B cell, healthy"
p_17269_2	"CD21 low B cell, CVID patient"	"Naive B cell, healthy"
p_17300_1	"HEK293T cell, USF1 overexpressed"	"HEK293T cell, control"
p_17307_1	"A549 cell, dexamethasone, 6h"	"A549 cell, control"
p_17307_2	"A549 cell, mifepriston + dexamethasone, 48h"	"A549 cell, control"
p_17307_3	"A549 cell, match polyamide + dexamethasone, 48h"	"A549 cell, control"
p_17307_4	"A549 cell, mismatch polyamide + dexamethasone, 48h"	"A549 cell, control"
p_17347_1	"A459 cells, 3D culture"	"A459 cells, 2D culture"
p_17347_2	"UT-15 cells, 3D culture"	"UT-15 cells, 2D culture"
p_17351_1	esophageal squamous cell carcinoma (ESCC)	"esophagus tissue, normal"
p_17353_1	"EPC2-hTERT cell, Hypoxia"	"EPC2-hTERT cell, Normoxia, control"
p_17368_4	"Postnatal epiphyseal cartilage, passage 4"	"Postnatal epiphyseal cartilage, primary"
p_17368_8	"Postnatal epiphyseal cartilage, passage 8"	"Postnatal epiphyseal cartilage, primary"
p_17375_1	"colon cancer stem cells (CSC), high Wnt"	"colon cancer stem cells (CSC), low Wnt"
p_17375_2	C200 Colon CSC culture high Wnt; overexpression	C200 Colon CSC culture low Wnt
p_17385_1	"Multiple myeloma line (MM1.S), beta-catenin knockdown"	"Multiple myeloma line (MM1.S), control"
p_17386_1	"CD133-HCC cell, miR-130b treated"	"CD133-HCC cell, control"
p_17400_1	"Bronchial epithelial cell line (2B4), SARS-CoV-infected, 12h"	"Bronchial epithelial cell line (2B4), mock-infected, 12h"
p_17400_2	"Bronchial epithelial cell line (2B4), DOHV-infected, 12h"	"Bronchial epithelial cell line (2B4), mock-infected, 12h"
p_17400_3	"Bronchial epithelial cell line (2B4), SARS-CoV-infected, 24h"	"Bronchial epithelial cell line (2B4), mock-infected, 24h"
p_17400_4	"Bronchial epithelial cell line (2B4), DOHV-infected, 24h"	"Bronchial epithelial cell line (2B4), mock-infected, 24h"
p_17400_5	"Bronchial epithelial cell line (2B4), SARS-CoV-infected, 48h"	"Bronchial epithelial cell line (2B4), mock-infected, 48h"
p_17400_6	"Bronchial epithelial cell line (2B4), DOHV-infected, 48h"	"Bronchial epithelial cell line (2B4), mock-infected, 48h"
p_17407_1	"MM.1S cell, cultured with pDCs"	"MM.1S cell, cultured alone, control"
p_17440_1	"Brain, frontal cortex, HIV patients, Major depressive disorder (MDD)"	"Brain, frontal cortex, HIV patients, no MDD"
p_17466_1	"iPrEC cell, Empty vector"	"iPrEC cell, control"
p_17466_2	"iPrEC cell, USP2A mutant"	"iPrEC cell, control"
p_17476_1	"Heart, E161K mutant"	"Heart, ISC Control"
p_17480_1	"CD34+ mononuclear cells, fenretinide treated, 4uM, 48h"	"CD34+ mononuclear cells, untreated"
p_17482_1	"DU145 cells, Stat3 down-regulated"	"DU145 cells, control"
p_17482_2	"DU145 cells, Stat5a/b down-regulated"	"DU145 cells, control"
p_17482_3	"CWR22Rv1 cells, Stat3 down-regulated"	"CWR22Rv1 cells, control"
p_17482_4	"CWR22Rv1 cells, Stat5a/b down-regulated"	"CWR22Rv1 cells, control"
p_17483_1	"DU145 cell, Stat5a/b silenced"	"DU145 cell, control"
p_17508_1	"MCF-7 cells, miR-22 duplex transfection, 24h"	"MCF-7 cells, negative control RNA duplex transfection, 24h"
p_17539_1	"cultured skin substitute, in vitro, 3 days of culture"	normal human skin
p_17539_3	"cultured skin substitute, in vitro, 14 days of culture"	normal human skin
p_17539_4	"cultured skin substitute, in vivo, 3 days of culture"	normal human skin
p_17539_9	"cultured skin substitute, in vivo, 56 days of culture"	normal human skin
p_17540_1	"MCF7 cell, CEACAM1-4S treated"	"MCF7 cell, control"
p_17543_1	"vascular smooth muscle cells, siRNA targeting FoxM1, 48h"	"vascular smooth muscle cells, control siRNA"
p_17549_1	"CD14 cell, CHM patient"	"CD14 cell, control"
p_17549_2	"Primary Fibroblast cell, CHM patient"	"Primary Fibroblast cell, control"
p_17551_1	"WM-266 cells, Pirin knockdown"	"WM-266 cells, transfected with control siRNA"
p_17551_2	"WM-266 cells, Pirin knockdown"	"WM-266 cells, transfection without adding oligonucleotide"
p_17612_1	Brain BA10 post-mortem schizophrenic; tissue	Brain BA10 post-mortem control
p_17624_11	Ishikawa_VeryLowDose_BPA_24h treated; time course	Ishikawa_Control_24h
p_17624_2	Ishikawa_HighDose_BPA_24h treated; time course	Ishikawa_Control_24h
p_17624_5	Ishikawa_LowDose_BPA_24h treated; time course	Ishikawa_Control_24h
p_17624_8	Ishikawa_VeryHighDose_BPA_24h treated; time course	Ishikawa_Control_24h
p_17625_1	"Caco-2 cell, co-cultured THP-1 cell, 1h"	"Caco-2 cell, control"
p_17625_2	"Caco-2, coculture_3h"	"Caco-2, coculture_0h"
p_17625_3	"Caco-2, coculture_6h"	"Caco-2, coculture_0h"
p_17625_4	"Caco-2, coculture_24h"	"Caco-2, coculture_0h"
p_17625_5	"Caco-2, coculture_48h"	"Caco-2, coculture_0h"
p_17636_1	"MDA-MB-436 cells, NF1-C2 over-expression"	"MDA-MB-436 cells, wildtype"
p_17639_1	"Reticulocytes, umbilical cord blood"	"Reticulocytes, adult periperal blood"
p_17700_1	"breast cancer sample, lab: Jules Bordet Institute"	"breast cancer sample, lab: MD Anderson Cancer Center"
p_17708_4	"A549 cell line, TGFB1 treated, 4h"	"A549 cell line, untreated"
p_17708_7	"A549 cell line, TGFB1 treated, 24h"	"A549 cell line, untreated"
p_17714_1	neuroblastoma cell line under hypoxic conditions	neuroblastoma cell line under normoxic conditions
p_17718_1	"StED cell, HTLV-1 positive"	Postmitotic CD4 T cell
p_17718_2	"MT-2 cell, HTLV-1 positive"	Postmitotic CD4 T cell
p_17743_1	"gastrointestinal stromal tumor, KIT mutation detected"	"gastrointestinal stromal tumor, wild type, control"
p_17743_2	"gastrointestinal stromal tumor, PDGFRA mutation detected"	"gastrointestinal stromal tumor, wild type, control"
p_17763_1	"Lesion patent macrophage cell, BT lesion"	"Lesion patent macrophage cell, LL lesion"
p_17763_2	"Lesion patent macrophage cell, RR lesion"	"Lesion patent macrophage cell, LL lesion"
p_17768_1	"HCC38 cells, breast cancer cell line"	"MCF10A cells, non-breast cancer cell line"
p_17768_2	"HCC1008 cells, breast cancer cell line"	"MCF10A cells, non-breast cancer cell line"
p_17768_3	"HCC1143 cells, breast cancer cell line"	"MCF10A cells, non-breast cancer cell line"
p_17768_4	"HCC1395 cells, breast cancer cell line"	"MCF10A cells, non-breast cancer cell line"
p_17768_5	"HCC1599 cells, breast cancer cell line"	"MCF10A cells, non-breast cancer cell line"
p_17768_6	"HCC1937 cells, breast cancer cell line"	"MCF10A cells, non-breast cancer cell line"
p_17768_7	"HCC2218 cells, breast cancer cell line"	"MCF10A cells, non-breast cancer cell line"
p_17768_8	"BT474 cells, breast cancer cell line"	"MCF10A cells, non-breast cancer cell line"
p_17768_9	"MCF7 cells, breast cancer cell line"	"MCF10A cells, non-breast cancer cell line"
p_17777_1	"HMVEC, VEGF treated"	"HMVEC, control"
p_17777_2	"HMVEC, VEGF, 8CPT treated"	"HMVEC, control"
p_17777_3	"HMVEC, VEGF, ET treated"	"HMVEC, control"
p_17785_1	"MCF10A cell, PI3K mutate, DMSO treated"	"MCF10A cell, WT, DMSO treated"
p_17785_2	"MCF10A cell, PI3K mutate, GDC0941 treated"	"MCF10A cell, WT, GDC0941 treated"
p_17827_1	"IMR32, inducible MEIS1-shRNA, doxycycline induction, 24h"	"IMR32, inducible MEIS1-shRNA, 0h"
p_17827_2	"IMR32, inducible MEIS1-shRNA, doxycycline induction, 48h"	"IMR32, inducible MEIS1-shRNA, 0h"
p_17827_3	"IMR32, inducible MEIS1-shRNA, doxycycline induction, 96h"	"IMR32, inducible MEIS1-shRNA, 0h"
p_17827_4	"IMR32, inducible MEIS1-shRNA, doxycycline induction, 192h"	"IMR32, inducible MEIS1-shRNA, 0h"
p_17832_1	"MCF-7 cell, Desferrioxamine treated"	"MCF-7 cell, control"
p_17832_2	"MCF-7 cell, 2-hydroxy-1-napthylaldehyde isonicotinoyl hydrazone treated"	"MCF-7 cell, control"
p_17861_1	"Acute rejection biopsy grade Ib, IIA from human transplanted kidney"	Biopsy from non-rejecting human transplanted kidney
p_17889_1	"MCF7-I6, highly invasive cells"	"MCF7-I0, weakly invasive cells"
p_17906_1	prostate cancer	normal prostate
p_17906_2	bladder cancer	normal bladder tissues
p_17907_1	breast cancer	normal breast
p_17907_10	IGF1R IHC+ breast cancer	IGF1R IHC- breast cancer
p_17907_11	EGFR IHC+ breast cancer	EGFR IHC- breast cancer
p_17907_12	TOP2A IHC+ breast cancer	TOP2A IHC- breast cancer
p_17907_13	FOXA1  IHC+ breast cancer	FOXA1  IHC- breast cancer
p_17907_2	ERBB2 type breast cancer	normal type breast cancer
p_17907_3	luminalA type breast cancer	normal type breast cancer
p_17907_4	Basal type breast cancer	normal type breast cancer
p_17907_5	ERBB2 IHC+ breast cancer	ERBB2 IHC- breast cancer
p_17907_6	ER IHC+ breast cancer	ER IHC- breast cancer
p_17907_7	PR IHC+ breast cancer	PR IHC- breast cancer
p_17907_8	P53 IHC+ breast cancer	P53 IHC- breast cancer
p_17907_9	Ki67 IHC+ breast cancer	Ki67 IHC- breast cancer
p_17913_1	"Buccal mucosa cell, Smoker"	"Buccal mucosa cell, Non-smoker"
p_17920_1	chronic Hodgkin lymphoma; early relapse	chronic Hodgkin lymphoma; refractory
p_17920_2	chronic Hodgkin lymphoma; late relapse	chronic Hodgkin lymphoma; refractory
p_17938_1	"T cell, cocultured RPE"	RPE cell
p_17938_2	"T cell, cocultured RPE, AMD disease"	"RPE cell, AMD disease"
p_17938_3	"T cell, cocultured RPE, AMD disease"	"T cell, AMD disease"
p_17938_4	AMD: RPE only	t-cell co-culture: RPE only
p_17938_5	AMD: RPE co-Tcells	t-cell co-culture: RPE co-Tcells
p_17939_1	"HUVEC cell, MEK5 activated"	"HUVEC cell, control"
p_17951_1	prostate cancer	normal prostate
p_17987_1	"MIA.PACA2 cell, masitinib treated"	"MIA.PACA2 cell, control"
p_17987_2	"MIA.PACA2 cell, gemcitabine treated"	"MIA.PACA2 cell, control"
p_17987_3	"MIA.PACA2 cell, masitinib,gemcitabine treated"	"MIA.PACA2 cell, control"
p_18000_1	"Panc1 cell, syk-silenced"	"Panc1 cell, control"
p_18015_1	"CD133/2+ cells, primary glioblastoma"	"CD133/2- cells, primary glioblastoma"
p_18043_1	BM-mesenchymal stem cells (MSC) culture osteogenic induction for 1 day treated	BM-mesenchymal stem cells (MSC) culture
p_18043_2	BM-mesenchymal stem cells (MSC) culture osteogenic induction for 3 days treated	BM-mesenchymal stem cells (MSC) culture
p_18043_3	BM-mesenchymal stem cells (MSC) culture osteogenic induction for 7 days treated	BM-mesenchymal stem cells (MSC) culture
p_18047_1	H929 transfected with IKKB treated	H929 control
p_18047_2	H929 transfected with NIK treated	H929 control
p_18047_3	SACHI transfected with IKKB treated	SACHI control
p_18047_4	SACHI transfected with IKKB treated	SACHI control
p_18070_1	cell line derived from a xenograft of the MCF10ATk.cl2(MII) cells in nude mice that progressed to carcinoma (MIIIpB)	MCF10A H-Ras transformed cell line (MIIpB)
p_18070_2	"MCF10CA1h (MIII), overexpressing the inhibitory Smad8"	cell line derived from a xenograft of the MCF10ATk.cl2(MII) cells in nude mice that progressed to carcinoma (MIIIpB)
p_18105_1	"colorectal tissue, cancer"	"colorectal tissue, adjacent normal"
p_18105_2	colorectal cancer	normal
p_18113_1	"HMVEC cell, co-cultured with LS180 cell"	"HMVEC cell, quiescent"
p_18113_2	"HMVEC cell, co-cultured with HT-29 cell"	"HMVEC cell, quiescent"
p_18113_3	"HMVEC cell, co-cultured with Blood component"	"HMVEC cell, quiescent"
p_18113_4	"HMVEC cell, co-cultured with Blood component + LS180 cell"	"HMVEC cell, quiescent"
p_18113_5	"HMVEC cell, co-cultured with Blood component + HT-29 cell"	"HMVEC cell, quiescent"
p_18123_1	"peripheral blood, Autism Spectrum Disorder"	"peripheral blood, control"
p_18140_1	"Endometrium, on day of oocyte retrieval, pregnant"	"Endometrium, on day of oocyte retrieval, not pregnant"
p_18146_1	"T47D cells, testosterone tested"	"T47D cells, untreated"
p_18146_2	"T47D cells, testosterone-BSA treated"	"T47D cells, untreated"
p_18146_3	"MDA-MB-231 cells, testosterone tested"	"MDA-MB-231 cells, untreated"
p_18146_4	"MDA-MB-231 cells, testosterone-BSA treated"	"MDA-MB-231 cells, untreated"
p_18147_1	fully reprogrammed iPS cell line	Human embryonic stem cells
p_18147_2	partial iPS cell line	Human embryonic stem cells
p_18147_3	fully reprogrammed iPS cell line	Human foreskin fibroblast (HFF1)
p_18150_1	"Gliospheres, DZNep treated"	"Gliospheres, control"
p_18180_1	Human gut mesentery derived MCiPS	Human gut mesentery derived MSC
p_18180_2	hESC	Human gut mesentery derived MSC
p_18182_1	"A549 cell, NME2 silenced"	"A549 cell, control"
p_18195_1	"Hec50co cell, avastin dosed"	"Hec50co cell, undosed control"
p_18198_1	"KOPT-K1 cells, treated with SAHM1"	"KOPT-K1 cells, treated with DMSO"
p_18198_2	"HPB-ALL cells, treated with SAHM1"	"HPB-ALL cells, treated with DMSO"
p_18226_1	iPS	fibroblast
p_18235_1	"Airway epithelial cell, tobacco type 1"	"Airway epithelial cell, control"
p_18235_10	"Airway epithelial cell, tobacco type 10"	"Airway epithelial cell, control"
p_18235_2	"Airway epithelial cell, tobacco type 2"	"Airway epithelial cell, control"
p_18235_3	"Airway epithelial cell, tobacco type 3"	"Airway epithelial cell, control"
p_18235_4	"Airway epithelial cell, tobacco type 4"	"Airway epithelial cell, control"
p_18235_5	"Airway epithelial cell, tobacco type 5"	"Airway epithelial cell, control"
p_18235_6	"Airway epithelial cell, tobacco type 6"	"Airway epithelial cell, control"
p_18235_7	"Airway epithelial cell, tobacco type 7"	"Airway epithelial cell, control"
p_18235_8	"Airway epithelial cell, tobacco type 8"	"Airway epithelial cell, control"
p_18235_9	"Airway epithelial cell, tobacco type 9"	"Airway epithelial cell, control"
p_18239_1	"T-ALL cells, JAK1 mutation"	"T-ALL cells, wild type JAK1"
p_18269_1	Undifferentiated elongate HepaRG; treat	Differentiated well-confluent HepaRG
p_18269_2	HepG2; treat	Differentiated well-confluent HepaRG
p_18269_3	Primary hepatocyte; treat	Differentiated well-confluent HepaRG
p_18269_4	Liver; treat	Differentiated well-confluent HepaRG
p_18271_1	ganglioneuromas	ganglioneuroblastomas
p_18277_1	MIAPaCa2 cells expressing alpha2 and maintained on collagenI	MIAPaCa2 cells  maintained under drug selection
p_18277_2	MIAPaCa2 cells expressing alpha2 and maintained in standard culture	MIAPaCa2 cells  maintained under drug selection
p_18277_3	MIAPaCa2 cells expressing alpha9alpha2 chimera and maintained on tenascin FNIII	MIAPaCa2 cells  maintained under drug selection
p_18277_4	MIAPaCa2 cells expressing alpha2 cytoplasmic deletion and maintained on collagenI	MIAPaCa2 cells  maintained under drug selection
p_18309_1	"PBMC, from Alzheimer's disease patient"	"PBMC, from normal elder individuals"
p_18309_2	"PBMC, from mild cognitive impairment patients"	"PBMC, from normal elder individuals"
p_18313_1	"CD57 positive T cell, paraproteinemia patients"	"CD57 negative T cell, paraproteinemia patients"
p_18323_1	PBMC; Protected from malaria vaccine trial treated	PBMC; NonProtected
p_18323_2	PBMC; Delay from malaria vaccine trial treated	PBMC; NonProtected
p_18331_1	"Breast cancer cell, no-sensitive to Valproic acid"	"Breast cancer cell, sensitive to Valproic acid"
p_18331_2	"Breast cancer cell, resistant to Valproic acid"	"Breast cancer cell, sensitive to Valproic acid"
p_18349_1	"Fetal cortex, XY_trisomy 7"	"Fetal cortex, XY_diploid"
p_18370_1	NTci	PTci
p_18370_2	MT1	PTci
p_18370_3	MT1	NTci
p_18373_1	"HUVEC, MAGP2 treated"	"HUVEC, control"
p_18373_2	"OVCA429 cell, MAGP2 treated"	"OVCA429 cell, control"
p_18391_1	"Adipose-derived stromal/stem cells (ASC), adipogenic induced"	"Adipose-derived stromal/stem cells (ASC), control"
p_18454_1	"Normal human bronchial epithelian cell, 5-aza treated"	"Normal human bronchial epithelian cell, control"
p_18454_2	"Normal human small airway epithelian cell, 5-aza treated"	"Normal human small airway epithelian cell, control"
p_18462_1	primary colorectal carcinoma	normal colon
p_18462_2	liver metastasis	normal liver
p_18476_1	"U937T cells, PLZF-RAR¥á induction, 48h"	"U937T cells, no induction of PLZF-RAR¥á, control"
p_18486_1	"A2780 cell, CDk-125 treated"	"A2780 cell, untreated"
p_18486_2	"A2780 cell, CDk-509 treated"	"A2780 cell, untreated"
p_18494_1	HepG2 hypoxia (0.5%O2) treatment 4h; time course	HepG2 normoxia
p_18494_3	HepG2 hypoxia (0.5%O2) treatment 12h; time course	HepG2 normoxia
p_18494_4	U87 hypoxia (0.5%O2) treatment 4h; time course	U87 normoxia
p_18494_6	U87 hypoxia (0.5%O2) treatment 12h; time course	U87 normoxia
p_18494_7	MB231 hypoxia (0.5%O2) treatment 4h; time course	MB231 normoxia
p_18494_9	MB231 hypoxia (0.5%O2) treatment 12h; time course	MB231 normoxia
p_18497_1	Pre-B-ALL	Common ALL
p_18497_2	T-ALL	Common ALL
p_18498_1	"A2780 cells, CDK-887 treated"	"A2780 cells, untreated"
p_18501_1	"MCF-7 cells, CDK-125 treated"	"MCF-7 cells, untreated"
p_18504_1	"A2780 cells, Flavopiridol treated"	"A2780 cells, untreated"
p_18521_1	HUVEC+MAGP2 treatment	HUVEC control
p_18521_2	OVCA429+MAGP2 treatment	OVCA429 control
p_18521_3	Ovarian Tumor; ovary cancer	normal ovary
p_18557_1	"Endometrium, on the day of oocyte retrieval, hCG treated"	"Endometrium, on the day of oocyte retrieval, rFSH treated"
p_18560_1	"Ls174T cell, pTER-B-catenin, dox treated"	"Ls174T cell, pTER-B-catenin, control"
p_18560_2	"Ls174T cell, L8 treated dox treated"	"Ls174T cell, L8 treated control"
p_18565_1	CD16+ monocytes	CD16- monocytes
p_18571_1	"MDA-MB-468 cell line, Rapa-treated, 24 h"	"MDA-MB-468 cell line, DMSO-treated, 24 h"
p_18571_2	"breast tumor xenograft, Rapamycin treated, 1 day"	"breast tumor xenograft, DMSO-treated, 1 day"
p_18571_3	"breast tumor xenograft, Rapamycin treated, 22 day"	"breast tumor xenograft, DMSO-treated, 22 day"
p_18590_1	"primary human keratinocytes, differentiated with addition of Ca2+ (1.2mM), 3 days"	"primary human keratinocytes, undifferentiated"
p_18590_2	"primary human keratinocytes, DNMT1 knock down"	"primary human keratinocytes, undifferentiated"
p_18590_3	primary keratinocytes; DNMT1 knockdown	primary keratinocytes; differentiated
p_18608_1	"CD133 cell, coronary artery disease (CAD) patient, before exercise"	"CD133 cell, healthy"
p_18608_2	"CD133 cell, coronary artery disease (CAD) patient, after exercise 3month"	"CD133 cell, healthy"
p_18608_3	"CD133 cell, coronary artery disease (CAD) patient, after exercise 3month"	"CD133 cell, coronary artery disease (CAD) patient, before exercise"
p_18618_1	hiPSC footprint-free clone1	Neural progenitor cells
p_18618_2	hiPSC footprint-free clone2	Neural progenitor cells
p_18618_3	HUES6 ES; Human Embryonic Stem Cells	Neural progenitor cells
p_18618_4	Cythera ES; Human Embryonic Stem Cells	Neural progenitor cells
p_18625_1	"DLD-1 cells, transfected with miR-145"	"DLD-1 cells, mock transfected"
p_18632_1	"HEK293E cell, TDP-43 knockdown"	"HEK293E cell, control"
p_18640_1	"CD34 cell, HPIP-wt"	"CD34 cell, control"
p_18640_2	"CD34 cell, NRPID mutant"	"CD34 cell, control"
p_18679_1	Human embryonic stem cells	Human erythroblast
p_18680_1	"Ovarian cancer cell, low CXCR4"	"Ovarian cancer cell, high CXCR4"
p_18681_1	ascites cell sample from non-responsive patient to infliximab; ovary cancer; treat	ascites cell sample from responsive patient to infliximab
p_18728_1	breast cancer; responder	breast cancer; non-responder
p_18728_2	"breast cancer, ER+"	"breast cancer, ER-"
p_18728_3	"breast cancer, PR+"	"breast cancer, PR-"
p_18728_4	"breast cancer, HER2+"	"breast cancer, HER2-"
p_18736_1	"Lymph node, mantle cell lymphoma patient"	"Lymph node, follicular lymphoma patient"
p_18739_1	"HEK293 cells, in vivo cell expansion (NOD.Scid mice), 3 weeks"	"HEK293 cells, cultivated in DMEM"
p_18773_1	"CAL-51 cell, side population"	"CAL-51 cell, non-side population"
p_18781_1	Blood - Axial Spondyloarthropathy; tissue	Blood - Control
p_18781_2	Blood - Sarcoidosis; tissue	Blood - Control
p_18791_10	"Dendritic cells infected with Newcastle disease virus (NDV), 18 hr"	"Dendritic cells infected with allantoic fluid (AF), 18 hr"
p_18809_1	"Placenta, Preterm spontaneous delivery"	"Placenta, Term spontaneous delivery"
p_18810_1	"neutrophils, exposed to E.coli strain MG1655, 60 min"	"Neutrophile, mock treated, 60 min"
p_18810_2	"neutrophils, exposed to E.coli strain UTI89, 60 min"	"Neutrophile, mock treated, 60 min"
